Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  1.30      0.46     0.01  1889568     0.01     0.10  std::__detail::_Map_base<int, std::pair<int const, std::vector<int, std::allocator<int> > >, std::allocator<std::pair<int const, std::vector<int, std::allocator<int> > > >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true>, true>::operator[](int const&)
  1.30      0.47     0.01  1784592     0.01     0.01  __gnu_cxx::__aligned_buffer<std::pair<int const, int> >::_M_addr() const
  1.30      0.48     0.01  1784592     0.01     0.03  std::__detail::_Hash_code_base<int, std::pair<int const, int>, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(std::__detail::_Hash_node<std::pair<int const, int>, false> const*, unsigned long) const
  1.30      0.49     0.01  1784592     0.01     0.01  std::pair<int const, int> const& std::forward<std::pair<int const, int> const&>(std::remove_reference<std::pair<int const, int> const&>::type&)
  1.30      0.50     0.01  1653372     0.01     0.01  std::tuple_element<0ul, std::tuple<int const&> >::type& std::get<0ul, int const&>(std::tuple<int const&>&)
  1.30      0.51     0.01  1513404     0.01     0.02  std::__detail::_Hash_code_base<int, std::pair<int const, std::vector<int, std::allocator<int> > >, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(std::__detail::_Hash_node<std::pair<int const, std::vector<int, std::allocator<int> > >, false> const*, unsigned long) const
  1.30      0.52     0.01  1325322     0.01     0.01  decltype ((get<0>)((forward<std::pair<int const, std::vector<int, std::allocator<int> > >&>)({parm#1}))) std::__detail::_Select1st::operator()<std::pair<int const, std::vector<int, std::allocator<int> > >&>(std::pair<int const, std::vector<int, std::allocator<int> > >&) const
  1.30      0.53     0.01  1200663     0.01     0.01  void __gnu_cxx::new_allocator<std::pair<int, int> >::construct<std::pair<int, int>, std::pair<int, int> >(std::pair<int, int>*, std::pair<int, int>&&)
  1.30      0.54     0.01  1200030     0.01     0.01  __gnu_cxx::__aligned_buffer<int>::_M_ptr() const
  1.30      0.55     0.01  1003833     0.01     0.01  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  1.30      0.56     0.01   944784     0.01     0.01  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<int const, int>, false> >::allocate(unsigned long, void const*)
  1.30      0.57     0.01   944784     0.01     0.07  std::_Hashtable<int, std::pair<int const, int>, std::allocator<std::pair<int const, int> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<std::pair<int const, int>, false>*, unsigned long)
  1.30      0.58     0.01   944784     0.01     0.03  std::_Hashtable<int, std::pair<int const, int>, std::allocator<std::pair<int const, int> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_insert_bucket_begin(unsigned long, std::__detail::_Hash_node<std::pair<int const, int>, false>*)
  1.30      0.59     0.01   944784     0.01     0.03  void std::allocator_traits<std::allocator<std::__detail::_Hash_node<std::pair<int const, int>, false> > >::construct<std::pair<int const, int>, std::piecewise_construct_t const&, std::tuple<int const&>, std::tuple<> >(std::allocator<std::__detail::_Hash_node<std::pair<int const, int>, false> >&, std::pair<int const, int>*, std::piecewise_construct_t const&, std::tuple<int const&>&&, std::tuple<>&&)
  1.30      0.60     0.01   944784     0.01     0.02  std::pair<int const, int>::pair<int const&>(std::piecewise_construct_t, std::tuple<int const&>, std::tuple<>)
  1.30      0.61     0.01   944784     0.01     0.05  std::__detail::_Hash_node<std::pair<int const, int>, false>* std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<std::pair<int const, int>, false> > >::_M_allocate_node<std::piecewise_construct_t const&, std::tuple<int const&>, std::tuple<> >(std::piecewise_construct_t const&, std::tuple<int const&>&&, std::tuple<>&&)
  1.30      0.62     0.01   866052     0.01     0.01  bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  1.30      0.63     0.01   837621     0.01     0.01  std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::end()
  1.30      0.64     0.01   811501     0.01     0.02  std::__detail::_Hash_node_value_base<int>::_M_v()
  1.30      0.65     0.01   708588     0.01     0.02  std::__detail::_Node_iterator<std::pair<int const, std::vector<int, std::allocator<int> > >, false, false>::operator->() const
  1.30      0.66     0.01   678699     0.01     0.03  void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >, __gnu_cxx::__ops::_Val_comp_iter<get_cycles_and_sequences_for_fixed_contraction(std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > const&)::{lambda(auto:1 const&, auto:2 const&)#1}> >(__gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >, __gnu_cxx::__ops::_Val_comp_iter<get_cycles_and_sequences_for_fixed_contraction(std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > const&)::{lambda(auto:1 const&, auto:2 const&)#1}>)
